pc_cityid,app_cityid,city_name,pc_province,app_province,province_name
371600,2113,滨州市,370000,21,山东省
371700,2112,菏泽市,370000,21,山东省
410100,1001,郑州市,410000,10,河南省
410200,1013,开封市,410000,10,河南省
410300,1002,洛阳市,410000,10,河南省
410400,1018,平顶山市,410000,10,河南省
410500,1014,安阳市,410000,10,河南省
410600,1016,鹤壁市,410000,10,河南省
410700,1005,新乡市,410000,10,河南省
410800,1011,焦作市,410000,10,河南省
410900,1008,濮阳市,410000,10,河南省
411000,1023,许昌市,410000,10,河南省
411100,1010,漯河市,410000,10,河南省
411200,1007,三门峡市,410000,10,河南省
411300,1009,南阳市,410000,10,河南省
411400,1006,商丘市,410000,10,河南省
411500,1004,信阳市,410000,10,河南省
411600,1003,周口市,410000,10,河南省
411700,1021,驻马店市,410000,10,河南省
420100,1201,武汉市,420000,12,湖北省
420200,1208,黄石市,420000,12,湖北省
420300,1202,十堰市,420000,12,湖北省
420500,1207,宜昌市,420000,12,湖北省
420600,1203,襄阳市,420000,12,湖北省
420700,1216,鄂州市,420000,12,湖北省
420800,1209,荆门市,420000,12,湖北省
420900,1229,孝感市,420000,12,湖北省
421000,1210,荆州市,420000,12,湖北省
421100,1236,黄冈市,420000,12,湖北省
421200,1217,咸宁市,420000,12,湖北省
421300,1204,随州市,420000,12,湖北省
422800,422800,恩施土家族苗族自治州,420000,12,湖北省
430100,1301,长沙市,430000,13,湖南省
430200,1307,株洲市,430000,13,湖南省
430300,1309,湘潭市,430000,13,湖南省
430400,1304,衡阳市,430000,13,湖南省
430500,1310,邵阳市,430000,13,湖南省
430600,1308,岳阳市,430000,13,湖南省
430700,1303,常德市,430000,13,湖南省
430800,1315,张家界市,430000,13,湖南省
430900,1313,益阳市,430000,13,湖南省
431000,1302,郴州市,430000,13,湖南省
431100,1312,永州市,430000,13,湖南省
431200,1305,怀化市,430000,13,湖南省
431300,1306,娄底市,430000,13,湖南省
433100,1333,湘西土家族苗族自治州,430000,13,湖南省
440100,501,广州市,440000,5,广东省
440200,511,韶关市,440000,5,广东省
440300,502,深圳市,440000,5,广东省
440400,503,珠海市,440000,5,广东省
440500,507,汕头市,440000,5,广东省
440600,518,佛山市,440000,5,广东省
440700,521,江门市,440000,5,广东省
440800,513,湛江市,440000,5,广东省
440900,515,茂名市,440000,5,广东省
441200,514,肇庆市,440000,5,广东省
441300,520,惠州市,440000,5,广东省
441400,516,梅州市,440000,5,广东省
441500,552,汕尾市,440000,5,广东省
441600,535,河源市,440000,5,广东省
441700,532,阳江市,440000,5,广东省
441800,524,清远市,440000,5,广东省
441900,504,东莞市,440000,5,广东省
442000,505,中山市,440000,5,广东省
445100,510,潮州市,440000,5,广东省
445200,522,揭阳市,440000,5,广东省
445300,528,云浮市,440000,5,广东省
450100,601,南宁市,450000,6,广西壮族自治区
450200,602,柳州市,450000,6,广西壮族自治区
450300,603,桂林市,450000,6,广西壮族自治区
450400,613,梧州市,450000,6,广西壮族自治区
450500,604,北海市,450000,6,广西壮族自治区
450600,615,防城港市,450000,6,广西壮族自治区
450700,612,钦州市,450000,6,广西壮族自治区
450800,608,贵港市,450000,6,广西壮族自治区
450900,610,玉林市,450000,6,广西壮族自治区
451000,605,百色市,450000,6,广西壮族自治区
451100,606,贺州市,450000,6,广西壮族自治区
451200,607,河池市,450000,6,广西壮族自治区
451300,619,来宾市,450000,6,广西壮族自治区
451400,621,崇左市,450000,6,广西壮族自治区
460100,801,海口市,460000,8,海南省
460200,803,三亚市,460000,8,海南省
500000,3101,重庆市,500000,31,重庆市
510100,2501,成都市,510000,25,四川省
510300,2508,自贡市,510000,25,四川省
510400,2504,攀枝花市,510000,25,四川省
510500,2517,泸州市,510000,25,四川省
510600,2511,德阳市,510000,25,四川省
510700,2502,绵阳市,510000,25,四川省
510800,2510,广元市,510000,25,四川省
510900,2503,遂宁市,510000,25,四川省
511000,2519,内江市,510000,25,四川省
511100,2512,乐山市,510000,25,四川省
511300,2513,南充市,510000,25,四川省
511400,2514,眉山市,510000,25,四川省
511500,2506,宜宾市,510000,25,四川省
511600,2530,广安市,510000,25,四川省
511700,2532,达州市,510000,25,四川省
511800,2507,雅安市,510000,25,四川省
511900,2516,巴中市,510000,25,四川省
512000,2509,资阳市,510000,25,四川省
513200,2535,阿坝藏族羌族自治州,510000,25,四川省
513300,2536,甘孜藏族自治州,510000,25,四川省
513400,2537,凉山彝族自治州,510000,25,四川省
520100,701,贵阳市,520000,7,贵州省
520200,708,六盘水市,520000,7,贵州省
520300,702,遵义市,520000,7,贵州省
520400,705,安顺市,520000,7,贵州省
520500,717,毕节市,520000,7,贵州省
520600,719,铜仁市,520000,7,贵州省
522300,718,黔西南布依族苗族自治州,520000,7,贵州省
522600,714,黔东南苗族侗族自治州,520000,7,贵州省
522700,715,黔南布依族苗族自治州,520000,7,贵州省
530100,2901,昆明市,530000,29,云南省
530300,2903,曲靖市,530000,29,云南省
530400,2902,玉溪市,530000,29,云南省
530500,2907,保山市,530000,29,云南省
530600,2918,昭通市,530000,29,云南省
530700,2922,丽江市,530000,29,云南省
530800,2929,普洱市,530000,29,云南省
530900,2911,临沧市,530000,29,云南省
532300,532300,楚雄彝族自治州,530000,29,云南省
532500,2923,红河哈尼族彝族自治州,530000,29,云南省
532600,2914,文山壮族苗族自治州,530000,29,云南省
532800,2915,西双版纳傣族自治州,530000,29,云南省
532900,532900,大理白族自治州,530000,29,云南省
533100,2925,德宏傣族景颇族自治州,530000,29,云南省
533300,2927,怒江傈僳族自治州,530000,29,云南省
533400,2928,迪庆藏族自治州,530000,29,云南省
540100,2701,拉萨市,540000,27,西藏自治区
542400,2705,那曲地区,540000,27,西藏自治区
542600,2710,林芝地区,540000,27,西藏自治区
600001,3203,阿拉尔市,650000,28,新疆维吾尔自治区
600002,3204,阿里地区,540000,27,西藏自治区
600003,3205,白沙黎族自治县,460000,8,海南省
600004,3206,保亭黎族苗族自治县,460000,8,海南省
600005,3207,北屯市,650000,28,新疆维吾尔自治区
600006,3208,昌都市,540000,27,西藏自治区
600007,3209,昌江黎族自治县,460000,8,海南省
600008,3210,澄迈县,460000,8,海南省
600009,3211,儋州市,460000,8,海南省
600010,3212,定安县,460000,8,海南省
600011,3213,东方市,460000,8,海南省
600012,3214,果洛藏族自治州,630000,20,青海省
600013,3215,海东市,630000,20,青海省
600014,3216,黄南藏族自治州,630000,20,青海省
600015,3217,济源市,410000,10,河南省
600016,3218,克孜勒苏柯尔克孜自治州,650000,28,新疆维吾尔自治区
600017,3219,乐东黎族自治县,460000,8,海南省
600018,3220,临高县,460000,8,海南省
600019,3221,陵水黎族自治县,460000,8,海南省
600020,3222,潜江市,420000,12,湖北省
600021,3223,琼海市,460000,8,海南省
600022,3224,琼中黎族苗族自治县,460000,8,海南省
600023,3225,日喀则市,540000,27,西藏自治区
600024,3226,三沙市,460000,8,海南省
600025,3227,山南市,540000,27,西藏自治区
600026,3228,神农架林区,420000,12,湖北省
600027,3229,石河子市,650000,28,新疆维吾尔自治区
600028,3231,天门市,420000,12,湖北省
600029,3233,万宁市,460000,8,海南省
600030,3234,文昌市,460000,8,海南省
600031,3235,五家渠市,650000,28,新疆维吾尔自治区
600032,3236,五指山市,460000,8,海南省
600033,3237,仙桃市,420000,12,湖北省
600034,3238,玉树藏族自治州,630000,20,青海省
600035,3239,双河市,650000,28,新疆维吾尔自治区
600036,3240,铁门关市,650000,28,新疆维吾尔自治区
600037,3227,山南市,540000,27,西藏自治区
600038,3242,图木舒克市,650000,28,新疆维吾尔自治区
600039,3243,屯昌县,460000,8,海南省
600040,3244,可克达拉市,650000,28,新疆维吾尔自治区
600041,2833,哈密市,650000,28,新疆维吾尔自治区
610100,2301,西安市,610000,23,陕西省
610200,2310,铜川市,610000,23,陕西省
610300,2305,宝鸡市,610000,23,陕西省
610400,2302,咸阳市,610000,23,陕西省
610500,2303,渭南市,610000,23,陕西省
610600,2308,延安市,610000,23,陕西省
610700,2307,汉中市,610000,23,陕西省
610800,2304,榆林市,610000,23,陕西省
610900,2306,安康市,610000,23,陕西省
611000,2313,商洛市,610000,23,陕西省
620100,401,兰州市,620000,4,甘肃省
620200,416,嘉峪关市,620000,4,甘肃省
620300,417,金昌市,620000,4,甘肃省
620400,418,白银市,620000,4,甘肃省
620500,415,天水市,620000,4,甘肃省
620600,412,武威市,620000,4,甘肃省
620700,410,张掖市,620000,4,甘肃省
620800,405,平凉市,620000,4,甘肃省
620900,409,酒泉市,620000,4,甘肃省
621000,411,庆阳市,620000,4,甘肃省
621100,402,定西市,620000,4,甘肃省
621200,421,陇南市,620000,4,甘肃省
622900,622900,临夏回族自治州,620000,4,甘肃省
623000,422,甘南藏族自治州,620000,4,甘肃省
630100,2001,西宁市,630000,20,青海省
632200,2023,海北藏族自治州,630000,20,青海省
632500,2030,海南藏族自治州,630000,20,青海省
632800,2027,海西蒙古族藏族自治州,630000,20,青海省
640100,1901,银川市,640000,19,宁夏回族自治区
640200,1905,石嘴山市,640000,19,宁夏回族自治区
640300,1902,吴忠市,640000,19,宁夏回族自治区
640400,1903,固原市,640000,19,宁夏回族自治区
640500,1907,中卫市,640000,19,宁夏回族自治区
650100,2801,乌鲁木齐市,650000,28,新疆维吾尔自治区
650200,2803,克拉玛依市,650000,28,新疆维吾尔自治区
652100,2832,吐鲁番地区,650000,28,新疆维吾尔自治区
652200,2833,哈密地区,650000,28,新疆维吾尔自治区
652300,652300,昌吉回族自治州,650000,28,新疆维吾尔自治区
652700,2821,博尔塔拉蒙古自治州,650000,28,新疆维吾尔自治区
652800,2822,巴音郭楞蒙古自治州,650000,28,新疆维吾尔自治区
652900,2829,阿克苏地区,650000,28,新疆维吾尔自治区
653100,2828,喀什地区,650000,28,新疆维吾尔自治区
653200,2830,和田地区,650000,28,新疆维吾尔自治区
654000,2823,伊犁哈萨克自治州,650000,28,新疆维吾尔自治区
654200,2831,塔城地区,650000,28,新疆维吾尔自治区
654300,2834,阿勒泰地区,650000,28,新疆维吾尔自治区
