provinceID,province,cityID,city,areaID,area,cityLevelID,cityLevel
11,黑龙江,1136,大兴安岭,1,东北,5,五线城市
12,湖北,1201,武汉,5,华中,2,二线城市
12,湖北,1202,十堰,5,华中,4,四线城市
12,湖北,1203,襄阳,5,华中,3,三线城市
12,湖北,1204,随州,5,华中,5,五线城市
12,湖北,1207,宜昌,5,华中,3,三线城市
12,湖北,1208,黄石,5,华中,4,四线城市
12,湖北,1209,荆门,5,华中,4,四线城市
12,湖北,1210,荆州,5,华中,4,四线城市
12,湖北,1216,鄂州,5,华中,5,五线城市
12,湖北,1217,咸宁,5,华中,5,五线城市
12,湖北,1229,孝感,5,华中,4,四线城市
12,湖北,1236,黄冈,5,华中,4,四线城市
13,湖南,1301,长沙,5,华中,2,二线城市
13,湖南,1302,郴州,5,华中,4,四线城市
13,湖南,1303,常德,5,华中,4,四线城市
13,湖南,1304,衡阳,5,华中,4,四线城市
13,湖南,1305,怀化,5,华中,4,四线城市
13,湖南,1306,娄底,5,华中,4,四线城市
13,湖南,1307,株洲,5,华中,4,四线城市
13,湖南,1308,岳阳,5,华中,4,四线城市
13,湖南,1309,湘潭,5,华中,4,四线城市
13,湖南,1310,邵阳,5,华中,4,四线城市
13,湖南,1312,永州,5,华中,4,四线城市
13,湖南,1313,益阳,5,华中,4,四线城市
13,湖南,1315,张家界,5,华中,5,五线城市
13,湖南,1333,湘西,5,华中,5,五线城市
14,吉林,1401,长春,1,东北,2,二线城市
14,吉林,1402,吉林,1,东北,3,三线城市
14,吉林,1403,通化,1,东北,5,五线城市
14,吉林,1405,辽源,1,东北,5,五线城市
14,吉林,1406,白山,1,东北,5,五线城市
14,吉林,1412,白城,1,东北,5,五线城市
14,吉林,1425,松原,1,东北,4,四线城市
14,吉林,1428,延边,1,东北,5,五线城市
15,江苏,1501,南京,3,华东,2,二线城市
15,江苏,1502,苏州,3,华东,1,一线城市
15,江苏,1503,无锡,3,华东,2,二线城市
15,江苏,1505,常州,3,华东,3,三线城市
15,江苏,1507,淮安,3,华东,3,三线城市
15,江苏,1510,连云港,3,华东,4,四线城市
15,江苏,1511,南通,3,华东,2,二线城市
15,江苏,1512,盐城,3,华东,3,三线城市
15,江苏,1513,扬州,3,华东,3,三线城市
15,江苏,1515,镇江,3,华东,3,三线城市
15,江苏,1517,泰州,3,华东,3,三线城市
15,江苏,1518,徐州,3,华东,3,三线城市
15,江苏,1520,宿迁,3,华东,3,三线城市
16,江西,1601,南昌,5,华中,3,三线城市
16,江西,1602,上饶,5,华中,4,四线城市
16,江西,1603,萍乡,5,华中,5,五线城市
16,江西,1604,新余,5,华中,5,五线城市
16,江西,1605,宜春,5,华中,4,四线城市
16,江西,1606,九江,5,华中,4,四线城市
16,江西,1607,赣州,5,华中,3,三线城市
16,江西,1609,吉安,5,华中,4,四线城市
16,江西,1612,景德镇,5,华中,4,四线城市
16,江西,1613,抚州,5,华中,4,四线城市
16,江西,1615,鹰潭,5,华中,5,五线城市
14,吉林,1616,四平,1,东北,4,四线城市
17,辽宁,1701,沈阳,1,东北,2,二线城市
17,辽宁,1702,丹东,1,东北,5,五线城市
17,辽宁,1703,抚顺,1,东北,4,四线城市
17,辽宁,1704,阜新,1,东北,4,四线城市
17,辽宁,1705,葫芦岛,1,东北,4,四线城市
17,辽宁,1707,朝阳,1,东北,4,四线城市
17,辽宁,1708,大连,1,东北,2,二线城市
17,辽宁,1709,本溪,1,东北,5,五线城市
17,辽宁,1710,鞍山,1,东北,3,三线城市
17,辽宁,1711,锦州,1,东北,4,四线城市
17,辽宁,1711,北宁,1,东北,4,四线城市
17,辽宁,1713,辽阳,1,东北,4,四线城市
17,辽宁,1714,营口,1,东北,4,四线城市
17,辽宁,1716,盘锦,1,东北,4,四线城市
17,辽宁,1717,铁岭,1,东北,4,四线城市
18,内蒙古,1801,呼和浩特,2,华北,3,三线城市
18,内蒙古,1802,包头,2,华北,3,三线城市
18,内蒙古,1803,赤峰,2,华北,3,三线城市
18,内蒙古,1804,通辽,2,华北,4,四线城市
18,内蒙古,1805,乌海,2,华北,5,五线城市
18,内蒙古,1808,鄂尔多斯,2,华北,3,三线城市
18,内蒙古,1812,呼伦贝尔,2,华北,4,四线城市
18,内蒙古,1814,兴安,2,华北,5,五线城市
18,内蒙古,1814,兴安盟,2,华北,5,五线城市
