provinceID,province,cigCityID,cigCityName,adcode,adname
13,湖南,1333,湘西,433100,湘西土家族苗族自治州
14,吉林,1401,长春,220100,长春市
14,吉林,1402,吉林,220000,吉林省
14,吉林,1403,通化,220500,通化市
14,吉林,1405,辽源,220400,辽源市
14,吉林,1406,白山,220600,白山市
14,吉林,1412,白城,220800,白城市
14,吉林,1425,松原,220700,松原市
14,吉林,1428,延边,222400,延边朝鲜族自治州
15,江苏,1501,南京,320100,南京市
15,江苏,1502,苏州,320500,苏州市
15,江苏,1503,无锡,320200,无锡市
15,江苏,1505,常州,320400,常州市
15,江苏,1507,淮安,320800,淮安市
15,江苏,1510,连云港,320700,连云港市
15,江苏,1511,南通,320600,南通市
15,江苏,1512,盐城,320900,盐城市
15,江苏,1513,扬州,321000,扬州市
15,江苏,1515,镇江,321100,镇江市
15,江苏,1517,泰州,321200,泰州市
15,江苏,1518,徐州,320300,徐州市
15,江苏,1520,宿迁,321300,宿迁市
16,江西,1601,南昌,360100,南昌市
16,江西,1602,上饶,361100,上饶市
16,江西,1603,萍乡,360300,萍乡市
16,江西,1604,新余,360500,新余市
16,江西,1605,宜春,360900,宜春市
16,江西,1606,九江,360400,九江市
16,江西,1607,赣州,360700,赣州市
16,江西,1609,吉安,360800,吉安市
16,江西,1612,景德镇,360200,景德镇市
16,江西,1613,抚州,361000,抚州市
16,江西,1615,鹰潭,360600,鹰潭市
14,吉林,1616,四平,220300,四平市
17,辽宁,1701,沈阳,210100,沈阳市
17,辽宁,1702,丹东,210600,丹东市
17,辽宁,1703,抚顺,210400,抚顺市
17,辽宁,1704,阜新,210900,阜新市
17,辽宁,1705,葫芦岛,211400,葫芦岛市
17,辽宁,1707,朝阳,211300,朝阳市
17,辽宁,1708,大连,210200,大连市
17,辽宁,1709,本溪,210500,本溪市
17,辽宁,1710,鞍山,210300,鞍山市
17,辽宁,1711,锦州,210700,锦州市
17,辽宁,1713,辽阳,211000,辽阳市
17,辽宁,1714,营口,210800,营口市
17,辽宁,1716,盘锦,211100,盘锦市
17,辽宁,1717,铁岭,211200,铁岭市
18,内蒙古,1801,呼和浩特,150100,呼和浩特市
18,内蒙古,1802,包头,150200,包头市
18,内蒙古,1803,赤峰,150400,赤峰市
18,内蒙古,1804,通辽,150500,通辽市
18,内蒙古,1805,乌海,150300,乌海市
18,内蒙古,1808,鄂尔多斯,150600,鄂尔多斯市
18,内蒙古,1812,呼伦贝尔,150700,呼伦贝尔市
18,内蒙古,1814,兴安,152200,兴安盟
18,内蒙古,1824,巴彦淖尔,150800,巴彦淖尔市
18,内蒙古,1825,乌兰察布,150900,乌兰察布市
18,内蒙古,1829,锡林郭勒,152500,锡林郭勒盟
18,内蒙古,1830,阿拉善,152900,阿拉善盟
19,宁夏,1901,银川,640100,银川市
19,宁夏,1902,吴忠,640300,吴忠市
19,宁夏,1903,固原,640400,固原市
19,宁夏,1905,石嘴山,640200,石嘴山市
19,宁夏,1907,中卫,640500,中卫市
20,青海,2001,西宁,630100,西宁市
20,青海,2023,海北,632200,海北藏族自治州
20,青海,2027,海西,632800,海西蒙古族藏族自治州
20,青海,2030,海南,632500,海南藏族自治州
21,山东,2101,济南,370100,济南市
21,山东,2102,青岛,370200,青岛市
21,山东,2103,烟台,370600,烟台市
21,山东,2104,威海,371000,威海市
