provinceID,province,cityID,city,areaID,area,cityLevelID,cityLevel,cigCityID,cigCityName,adcode,adname,longitude,latitude
6,广西,605,百色,4,华南,5,五线城市,605,百色,451000,百色市,106.616285,23.897742
6,广西,606,贺州,4,华南,5,五线城市,606,贺州,451100,贺州市,111.552056,24.414141
6,广西,607,河池,4,华南,5,五线城市,607,河池,451200,河池市,108.062105,24.695899
6,广西,608,贵港,4,华南,5,五线城市,608,贵港,450800,贵港市,109.602146,23.0936
6,广西,610,玉林,4,华南,4,四线城市,610,玉林,450900,玉林市,110.154393,22.63136
6,广西,612,钦州,4,华南,5,五线城市,612,钦州,450700,钦州市,108.624175,21.967127
6,广西,613,梧州,4,华南,5,五线城市,613,梧州,450400,梧州市,111.297604,23.474803
6,广西,615,防城港,4,华南,5,五线城市,615,防城港,450600,防城港市,108.345478,21.614631
6,广西,619,来宾,4,华南,5,五线城市,619,来宾,451300,来宾市,109.229772,23.733766
6,广西,621,崇左,4,华南,5,五线城市,621,崇左,451400,崇左市,107.353926,22.404108
7,贵州,701,贵阳,7,西南,3,三线城市,701,贵阳,520100,贵阳市,106.713478,26.578343
7,贵州,702,遵义,7,西南,4,四线城市,702,遵义,520300,遵义市,106.937265,27.706626
7,贵州,705,安顺,7,西南,5,五线城市,705,安顺,520400,安顺市,105.932188,26.245544
7,贵州,708,六盘水,7,西南,5,五线城市,708,六盘水,520200,六盘水市,104.846743,26.584643
7,贵州,714,黔东南,7,西南,5,五线城市,714,黔东南,522600,黔东南苗族侗族自治州,107.977488,26.583352
7,贵州,714,凯里,7,西南,5,五线城市,714,黔东南,522601,凯里市,107.977541,26.582964
7,贵州,715,黔南,7,西南,5,五线城市,715,黔南,522700,黔南布依族苗族自治州,107.517156,26.258219
7,贵州,715,都匀市,7,西南,5,五线城市,715,黔南,522701,都匀市,107.517021,26.258205
7,贵州,717,毕节,7,西南,4,四线城市,717,毕节,520500,毕节市,105.28501,27.301693
7,贵州,718,黔西南,7,西南,5,五线城市,718,黔西南,522300,黔西南布依族苗族自治州,104.897971,25.08812
7,贵州,718,兴义市,7,西南,5,五线城市,718,黔西南,522301,兴义市,104.897982,25.088599
7,贵州,719,铜仁,7,西南,5,五线城市,719,铜仁,520600,铜仁市,109.191555,27.718346
8,海南,801,海口,4,华南,3,三线城市,801,海口,460100,海口市,110.33119,20.031971
8,海南,803,三亚,4,华南,4,四线城市,803,三亚,460200,三亚市,109.508268,18.247872
9,河北,901,石家庄,2,华北,2,二线城市,901,石家庄,130100,石家庄市,114.502461,38.045474
9,河北,902,唐山,2,华北,2,二线城市,902,唐山,130200,唐山市,118.175393,39.635113
9,河北,903,邢台,2,华北,3,三线城市,903,邢台,130500,邢台市,114.508851,37.0682
9,河北,905,秦皇岛,2,华北,3,三线城市,905,秦皇岛,130300,秦皇岛市,119.586579,39.942531
9,河北,906,廊坊,2,华北,3,三线城市,906,廊坊,131000,廊坊市,116.704441,39.523927
9,河北,907,邯郸,2,华北,3,三线城市,907,邯郸,130400,邯郸市,114.490686,36.612273
9,河北,908,衡水,2,华北,3,三线城市,908,衡水,131100,衡水市,115.665993,37.735097
