city,cityPinYin,cityShorthand
六安,luan,la
六盘水,liupanshui,lps
成都,chengdu,cd
那曲,naqu,nq
重庆,chongqing,cq
昌都,changdu,cd
长沙,changsha,cs
长春,changchun,cc
长治,changzhi,cz
